"module","pathway_id","pathway_name","fish_Pvalue","reg_coeff","GenesInPathway","Go_Reactome_root_id","Go_Reactome_root_names","step2root"
"PPI-STRING_Consensus_mod5","GO:0051965","positive regulation of synapse assembly","1.21e-13","6.79e-02",63,"GO:0065007","biological regulation",5
"PPI-STRING_Consensus_mod5","GO:0048681","negative regulation of axon regeneration","3.54e-04","2.46e-02",10,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod5","GO:0015810","aspartate transmembrane transport","7.29e-09","9.69e-02",9,"GO:0051179","localization",5
"PPI-STRING_Consensus_mod5","GO:0030021","extracellular matrix structural constituent conferring compression resistance","5.73e-08","1.34e-01",14,"GO:0005198","structural molecule activity",3
"PPI-STRING_Consensus_mod5","R-HSA-193634","Axonal growth inhibition (RHOA activation)","2.21e-04","5.92e-02",8,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod5","R-HSA-5223345","Miscellaneous transport and binding events","6.25e-09","7.63e-03",24,"R-HSA-382551","Transport of small molecules",1
"PPI-STRING_Consensus_mod5","R-HSA-6794362","Protein-protein interactions at synapses","1.30e-10","4.20e-03",88,"R-HSA-112316","Neuronal System",1
"PPI-STRING_Consensus_mod5","R-HSA-8849932","Synaptic adhesion-like molecules","3.38e-07","6.15e-02",21,"R-HSA-112316","Neuronal System",2
"PPI-STRING_Consensus_mod6","GO:0003730","mRNA 3'-UTR binding","5.39e-17","3.07e-02",76,"GO:0005488","binding",6
"PPI-STRING_Consensus_mod6","GO:0048026","positive regulation of mRNA splicing, via spliceosome","2.38e-07","4.26e-02",21,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod6","GO:0003729","mRNA binding","1.64e-13","1.18e-02",154,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod6","GO:1990904","ribonucleoprotein complex","1.22e-13","4.86e-03",150,"GO:0032991","protein-containing complex",2
"PPI-STRING_Consensus_mod6","GO:0000375","RNA splicing, via transesterification reactions","3.71e-05","1.41e-03",25,"GO:0008152#GO:0009987","metabolic process#cellular process",8
"PPI-STRING_Consensus_mod6","GO:0045948","positive regulation of translational initiation","6.05e-12","9.08e-02",19,"GO:0065007","biological regulation",5
"PPI-STRING_Consensus_mod6","GO:0007281","germ cell development","2.40e-10","1.77e-02",33,"GO:0009987#GO:0022414#GO:0032502","cellular process#reproductive process#developmental process",3
"PPI-STRING_Consensus_mod6","GO:0008266","poly(U) RNA binding","8.25e-11","6.30e-02",28,"GO:0005488","binding",7
"PPI-STRING_Consensus_mod6","GO:0000244","spliceosomal tri-snRNP complex assembly","4.36e-04","3.89e-03",12,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",7
"PPI-STRING_Consensus_mod6","GO:0006376","mRNA splice site selection","1.93e-07","3.97e-02",20,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",6
"PPI-STRING_Consensus_mod6","GO:0048024","regulation of mRNA splicing, via spliceosome","4.72e-06","3.68e-02",13,"GO:0065007","biological regulation",5
"PPI-STRING_Consensus_mod6","GO:0005685","U1 snRNP","1.55e-07","2.68e-02",19,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",5
"PPI-STRING_Consensus_mod6","GO:0008494","translation activator activity","3.87e-13","2.23e-01",13,"GO:0005488#GO:0045182","binding#translation regulator activity",3
"PPI-STRING_Consensus_mod6","GO:0070181","small ribosomal subunit rRNA binding","2.39e-04","8.25e-03",9,"GO:0005488","binding",6
"PPI-STRING_Consensus_mod6","GO:0071004","U2-type prespliceosome","5.49e-08","9.41e-02",15,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",5
"PPI-STRING_Consensus_mod6","R-HSA-2993913","Clearance of Nuclear Envelope Membranes from Chromatin","1.40e-04","8.08e-02",7,"R-HSA-1640170","Cell Cycle",5
"PPI-STRING_Consensus_mod6","R-HSA-8849468","PTK6 Regulates Proteins Involved in RNA Processing","6.68e-05","9.26e-02",5,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod7","R-HSA-212436","Generic Transcription Pathway","1.30e-57","3.01e-02",1112,"R-HSA-74160","Gene expression (Transcription)",2
"PPI-STRING_Consensus_mod7","R-HSA-73857","RNA Polymerase II Transcription","6.27e-55","4.41e-03",1240,"R-HSA-74160","Gene expression (Transcription)",1
"PPI-STRING_Consensus_mod8","GO:0004129","cytochrome-c oxidase activity","1.78e-37","2.06e-01",27,"GO:0003824#GO:0005215","catalytic activity#transporter activity",4
"PPI-STRING_Consensus_mod8","GO:0005751","mitochondrial respiratory chain complex IV","5.16e-30","1.28e-01",16,"GO:0032991#GO:0044422#GO:0044425#GO:0044464","protein-containing complex#organelle part#membrane part#cell part",4
"PPI-STRING_Consensus_mod8","GO:0006091","generation of precursor metabolites and energy","1.39e-15","1.48e-02",50,"GO:0008152#GO:0009987","metabolic process#cellular process",3
"PPI-STRING_Consensus_mod8","GO:0005746","mitochondrial respiratory chain","5.97e-16","5.59e-02",14,"GO:0044422#GO:0044425#GO:0044464","organelle part#membrane part#cell part",3
"PPI-STRING_Consensus_mod8","GO:0005750","mitochondrial respiratory chain complex III","3.08e-24","1.34e-01",15,"GO:0032991#GO:0044422#GO:0044425#GO:0044464","protein-containing complex#organelle part#membrane part#cell part",4
"PPI-STRING_Consensus_mod8","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","1.18e-21","7.34e-02",14,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod8","GO:0008121","ubiquinol-cytochrome-c reductase activity","1.47e-20","2.88e-01",10,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod8","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","6.34e-28","2.42e-01",14,"GO:0008152#GO:0009987","metabolic process#cellular process",6
"PPI-STRING_Consensus_mod8","GO:0002082","regulation of oxidative phosphorylation","1.76e-06","5.15e-03",11,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod8","GO:0061617","MICOS complex","1.79e-04","4.43e-02",9,"GO:0032991#GO:0044422#GO:0044425#GO:0044464","protein-containing complex#organelle part#membrane part#cell part",4
"PPI-STRING_Consensus_mod8","R-HSA-611105","Respiratory electron transport","4.41e-55","1.22e-01",87,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod8","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6.90e-52","7.91e-03",110,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod8","R-HSA-5628897","TP53 Regulates Metabolic Genes","7.74e-24","1.13e-02",79,"R-HSA-74160","Gene expression (Transcription)",4
"PPI-STRING_Consensus_mod9","GO:0098664","G-protein coupled serotonin receptor signaling pathway"," 5.92e-09","7.08e-02",18,"GO:0009987#GO:0065007","cellular process#biological regulation",4
"PPI-STRING_Consensus_mod9","GO:0005549","odorant binding"," 2.30e-24","1.15e-02",96,"GO:0005488","binding",2
"PPI-STRING_Consensus_mod9","R-HSA-418555","G alpha (s) signalling events"," 3.09e-97","6.54e-03",559,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod9","R-HSA-381753","Olfactory Signaling Pathway","8.07e-106","1.11e-01",421,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod10","GO:0004190","aspartic-type endopeptidase activity","7.75e-10","8.36e-02",24,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod10","GO:0016740","transferase activity","1.76e-08","3.46e-02",67,"GO:0003824","catalytic activity",2
"PPI-STRING_Consensus_mod10","GO:0030433","ubiquitin-dependent ERAD pathway","1.11e-37","1.69e-01",61,"GO:0008152#GO:0009987#GO:0050896","metabolic process#cellular process#response to stimulus",6
"PPI-STRING_Consensus_mod10","GO:0030970","retrograde protein transport, ER to cytosol","2.56e-23","2.91e-01",16,"GO:0051179","localization",5
"PPI-STRING_Consensus_mod10","GO:0007586","digestion","8.89e-06","2.78e-03",30,"GO:0032501","multicellular organismal process",2
"PPI-STRING_Consensus_mod10","GO:0005795","Golgi stack","1.67e-05","1.43e-02",35,"GO:0044422#GO:0044464","organelle part#cell part",5
"PPI-STRING_Consensus_mod10","GO:1904380","endoplasmic reticulum mannose trimming","8.38e-14","3.18e-02",14,"GO:0008152#GO:0009987","metabolic process#cellular process",8
"PPI-STRING_Consensus_mod10","GO:0030163","protein catabolic process","1.89e-10","5.86e-02",36,"GO:0008152","metabolic process",4
"PPI-STRING_Consensus_mod10","GO:0043130","ubiquitin binding","2.01e-14","5.26e-02",74,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod10","GO:0036503","ERAD pathway","2.96e-16","1.51e-01",14,"GO:0008152#GO:0009987#GO:0050896","metabolic process#cellular process#response to stimulus",5
"PPI-STRING_Consensus_mod10","GO:1990381","ubiquitin-specific protease binding","2.98e-11","5.60e-03",15,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod10","GO:0008568","microtubule-severing ATPase activity","1.34e-05","1.07e-01",11,"GO:0003824","catalytic activity",3
"PPI-STRING_Consensus_mod10","GO:0034450","ubiquitin-ubiquitin ligase activity","2.31e-05","1.65e-02",13,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod10","GO:0018279","protein N-linked glycosylation via asparagine","7.36e-08","3.65e-03",25,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod10","GO:0097486","multivesicular body lumen","2.88e-06","1.38e-01",7,"GO:0031974#GO:0044422#GO:0044464","membrane-enclosed lumen#organelle part#cell part",6
"PPI-STRING_Consensus_mod10","GO:0035871","protein K11-linked deubiquitination","9.77e-06","9.80e-02",10,"GO:0008152#GO:0009987","metabolic process#cellular process",6
"PPI-STRING_Consensus_mod10","GO:0036513","Derlin-1 retrotranslocation complex","8.14e-15","9.54e-02",11,"GO:0032991#GO:0044422#GO:0044425#GO:0044464","protein-containing complex#organelle part#membrane part#cell part",3
"PPI-STRING_Consensus_mod10","R-HSA-5689877","Josephin domain DUBs","1.78e-05","2.66e-02",12,"R-HSA-392499","Metabolism of proteins",3
"PPI-STRING_Consensus_mod11","GO:0006071","glycerol metabolic process","7.42e-08","8.65e-02",12,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod11","R-HSA-6814848","Glycerophospholipid catabolism","6.89e-12","3.27e-01",7,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod12","GO:0030552","cAMP binding","1.22e-05","1.84e-02",23,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod12","GO:0007269","neurotransmitter secretion","5.03e-07","1.52e-02",33,"GO:0009987#GO:0051179#GO:0065007","cellular process#localization#biological regulation",4
"PPI-STRING_Consensus_mod12","GO:0016079","synaptic vesicle exocytosis","1.85e-07","3.18e-02",26,"GO:0009987#GO:0051179","cellular process#localization",4
"PPI-STRING_Consensus_mod12","GO:0014059","regulation of dopamine secretion","4.42e-07","5.71e-03",32,"GO:0065007","biological regulation",5
"PPI-STRING_Consensus_mod12","GO:0090162","establishment of epithelial cell polarity","2.93e-04","6.95e-03",13,"GO:0009987","cellular process",4
"PPI-STRING_Consensus_mod12","GO:0071625","vocalization behavior","2.54e-06","2.26e-02",14,"GO:0007610","behavior",2
"PPI-STRING_Consensus_mod12","GO:0097104","postsynaptic membrane assembly","5.90e-07","1.30e-01",9,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",5
"PPI-STRING_Consensus_mod12","GO:0070382","exocytic vesicle","1.85e-07","3.11e-02",26,"GO:0043226#GO:0044464","organelle#cell part",3
"PPI-STRING_Consensus_mod13","GO:0035036","sperm-egg recognition","1.66e-21","7.98e-03",16,"GO:0009987#GO:0022414","cellular process#reproductive process",2
"PPI-STRING_Consensus_mod13","GO:0005891","voltage-gated calcium channel complex","6.06e-52","3.89e-01",27,"GO:0032991#GO:0044425#GO:0044464","protein-containing complex#membrane part#cell part",4
"PPI-STRING_Consensus_mod13","GO:0005245","voltage-gated calcium channel activity","3.44e-50","8.39e-02",39,"GO:0005215","transporter activity",7
"PPI-STRING_Consensus_mod13","GO:0008331","high voltage-gated calcium channel activity","1.47e-25","2.12e-01",9,"GO:0005215","transporter activity",8
"PPI-STRING_Consensus_mod13","GO:0019992","diacylglycerol binding","1.54e-06","6.96e-02",12,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod13","GO:0070509","calcium ion import","3.98e-25","6.72e-02",23,"GO:0051179","localization",5
"PPI-STRING_Consensus_mod13","GO:0046579","positive regulation of Ras protein signal transduction","5.67e-06","2.06e-02",18,"GO:0065007","biological regulation",7
"PPI-STRING_Consensus_mod13","GO:1990454","L-type voltage-gated calcium channel complex","3.21e-23","7.82e-02",12,"GO:0032991#GO:0044425#GO:0044464","protein-containing complex#membrane part#cell part",5
"PPI-STRING_Consensus_mod13","R-HSA-1169092","Activation of RAS in B cells","3.79e-05","1.20e-01",5,"R-HSA-168256","Immune System",4
"PPI-STRING_Consensus_mod13","R-HSA-5576892","Phase 0 - rapid depolarisation","1.33e-33","7.54e-04",34,"R-HSA-397014","Muscle contraction",2
"PPI-STRING_Consensus_mod13","R-HSA-5576893","Phase 2 - plateau phase","1.25e-35","3.67e-02",27,"R-HSA-397014","Muscle contraction",2
"PPI-STRING_Consensus_mod13","R-HSA-1300642","Sperm Motility And Taxes","1.47e-25","7.34e-01",9,"R-HSA-1474165","Reproduction",2
"PPI-STRING_Consensus_mod14","GO:0005839","proteasome core complex"," 1.85e-51","1.34e-02",23,"GO:0032991#GO:0044464","protein-containing complex#cell part",2
"PPI-STRING_Consensus_mod14","GO:0000502","proteasome complex"," 4.69e-98","1.27e-01",58,"GO:0032991#GO:0044464","protein-containing complex#cell part",3
"PPI-STRING_Consensus_mod14","GO:0043248","proteasome assembly"," 1.19e-10","3.96e-02",10,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",5
"PPI-STRING_Consensus_mod14","GO:0070628","proteasome binding"," 9.33e-10","8.96e-04",14,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod14","GO:0004177","aminopeptidase activity"," 2.03e-06","4.78e-02",26,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod14","R-HSA-174154","APC/C:Cdc20 mediated degradation of Securin","1.83e-103","1.39e-02",67,"R-HSA-1640170","Cell Cycle",6
"PPI-STRING_Consensus_mod14","R-HSA-68827","CDT1 association with the CDC6:ORC:origin complex","9.05e-108","4.19e-02",59,"R-HSA-1640170#R-HSA-69306","Cell Cycle#DNA Replication",4
"PPI-STRING_Consensus_mod14","R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","1.10e-110","7.84e-02",50,"R-HSA-168256","Immune System",4
"PPI-STRING_Consensus_mod14","R-HSA-4641257","Degradation of AXIN","2.00e-110","7.50e-02",55,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod14","R-HSA-4641258","Degradation of DVL","4.82e-109","5.53e-02",57,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod14","R-HSA-351202","Metabolism of polyamines","7.39e-106","1.37e-02",85,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod14","R-HSA-8948751","Regulation of PTEN stability and activity","1.55e-102","1.00e-03",69,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod14","R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","9.57e-126","4.82e-01",51,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod15","GO:0005885","Arp2/3 protein complex","6.11e-08","1.38e-01",13,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod15","GO:0030036","actin cytoskeleton organization","7.29e-15","1.08e-02",133,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",3
"PPI-STRING_Consensus_mod15","GO:0031941","filamentous actin","5.03e-10","8.17e-02",31,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod15","GO:0019215","intermediate filament binding","3.44e-04","3.57e-02",9,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod15","GO:0045104","intermediate filament cytoskeleton organization","3.75e-05","1.85e-02",21,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",3
"PPI-STRING_Consensus_mod15","GO:0051639","actin filament network formation","2.43e-06","6.71e-02",9,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",5
"PPI-STRING_Consensus_mod15","GO:0030042","actin filament depolymerization","2.41e-16","4.80e-01",10,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",6
"PPI-STRING_Consensus_mod15","GO:0090286","cytoskeletal anchoring at nuclear membrane","3.44e-04","4.33e-02",9,"GO:0009987#GO:0051179#GO:0065007#GO:0071840","cellular process#localization#biological regulation#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod15","GO:0032432","actin filament bundle","1.09e-08","1.80e-01",9,"GO:0044422#GO:0044464","organelle part#cell part",4
"PPI-STRING_Consensus_mod15","GO:0031032","actomyosin structure organization","1.45e-06","4.24e-02",27,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod15","GO:0008290","F-actin capping protein complex","1.41e-11","4.02e-01",8,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod15","GO:0030479","actin cortical patch","4.76e-06","9.40e-04",11,"GO:0044422#GO:0044464","organelle part#cell part",4
"PPI-STRING_Consensus_mod16","GO:0031274","positive regulation of pseudopodium assembly","1.33e-04","7.86e-03",13,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod16","GO:0050501","hyaluronan synthase activity","8.38e-09","3.29e-01",4,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod16","GO:0085029","extracellular matrix assembly","7.32e-08","2.81e-02",7,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod16","GO:0031105","septin complex","8.84e-39","2.21e-01",14,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod16","GO:0005940","septin ring","8.84e-39","2.20e-01",14,"GO:0043226#GO:0044422#GO:0044464","organelle#organelle part#cell part",4
"PPI-STRING_Consensus_mod16","GO:0000921","septin ring assembly","6.63e-38","1.02e-01",15,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod16","GO:0032160","septin filament array","8.84e-39","2.21e-01",14,"GO:0043226#GO:0044422#GO:0044464","organelle#organelle part#cell part",4
"PPI-STRING_Consensus_mod16","R-HSA-2142850","Hyaluronan biosynthesis and export","2.09e-08","1.37e-01",5,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod17","GO:0001578","microtubule bundle formation","1.24e-06","1.60e-02",27,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod17","GO:0005819","spindle","5.24e-14","5.67e-03",119,"GO:0043226#GO:0044422#GO:0044464","organelle#organelle part#cell part",4
"PPI-STRING_Consensus_mod17","GO:0010389","regulation of G2/M transition of mitotic cell cycle","1.06e-36","1.70e-02",80,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod17","GO:0097711","ciliary basal body-plasma membrane docking","6.23e-35","5.47e-03",95,"GO:0009987#GO:0051179","cellular process#localization",4
"PPI-STRING_Consensus_mod17","GO:0070652","HAUS complex","5.49e-17","4.18e-01",9,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",3
"PPI-STRING_Consensus_mod17","GO:0000226","microtubule cytoskeleton organization","1.74e-11","7.74e-03",101,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",3
"PPI-STRING_Consensus_mod17","GO:0005876","spindle microtubule","3.70e-09","1.38e-02",44,"GO:0044422#GO:0044464#GO:0099080","organelle part#cell part#supramolecular complex",5
"PPI-STRING_Consensus_mod17","GO:0051010","microtubule plus-end binding","1.43e-05","3.13e-03",16,"GO:0005488","binding",6
"PPI-STRING_Consensus_mod17","GO:0005952","cAMP-dependent protein kinase complex","2.49e-04","2.03e-02",8,"GO:0032991#GO:0044464","protein-containing complex#cell part",2
"PPI-STRING_Consensus_mod17","R-HSA-8854518","AURKA Activation by TPX2","8.19e-38","9.60e-02",72,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod17","R-HSA-2980767","Activation of NIMA Kinases NEK9, NEK6, NEK7","1.87e-04","9.57e-03",7,"R-HSA-1640170","Cell Cycle",5
"PPI-STRING_Consensus_mod17","R-HSA-5620912","Anchoring of the basal body to the plasma membrane","7.96e-35","3.19e-04",96,"R-HSA-1852241","Organelle biogenesis and maintenance",2
"PPI-STRING_Consensus_mod17","R-HSA-8854521","Interaction between PHLDA1 and AURKA","6.05e-03","5.52e-02",2,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod17","R-HSA-380259","Loss of Nlp from mitotic centrosomes","6.58e-36","4.17e-03",69,"R-HSA-1640170","Cell Cycle",6
"PPI-STRING_Consensus_mod17","R-HSA-380284","Loss of proteins required for interphase microtubule organization from the centrosome","6.58e-36","2.40e-03",69,"R-HSA-1640170","Cell Cycle",5
"PPI-STRING_Consensus_mod17","R-HSA-176417","Phosphorylation of Emi1","1.34e-04","4.19e-02",6,"R-HSA-1640170","Cell Cycle",5
"PPI-STRING_Consensus_mod17","R-HSA-389977","Post-chaperonin tubulin folding pathway","4.30e-07","3.18e-02",21,"R-HSA-392499","Metabolism of proteins",2
"PPI-STRING_Consensus_mod17","R-HSA-389957","Prefoldin mediated transfer of substrate  to CCT/TriC","1.24e-06","4.62e-03",27,"R-HSA-392499","Metabolism of proteins",4
"PPI-STRING_Consensus_mod17","R-HSA-380320","Recruitment of NuMA to mitotic centrosomes","1.06e-36","3.48e-02",80,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod17","R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition","7.83e-36","8.40e-03",87,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod18","GO:0005212","structural constituent of eye lens","4.65e-05","2.05e-02",21,"GO:0005198","structural molecule activity",2
"PPI-STRING_Consensus_mod18","GO:0030018","Z disc","1.68e-23","6.51e-02",123,"GO:0044422#GO:0044464","organelle part#cell part",3
"PPI-STRING_Consensus_mod18","GO:0031430","M band","4.11e-08","2.35e-02",29,"GO:0044422#GO:0044464","organelle part#cell part",3
"PPI-STRING_Consensus_mod18","GO:0006936","muscle contraction","1.74e-12","1.27e-02",104,"GO:0032501","multicellular organismal process",4
"PPI-STRING_Consensus_mod18","GO:0002162","dystroglycan binding","3.97e-04","3.03e-02",9,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod18","GO:0017022","myosin binding","7.03e-05","5.47e-03",24,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod18","GO:0097602","cullin family protein binding","2.88e-05","3.75e-02",18,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod18","GO:0031433","telethonin binding","1.27e-06","1.49e-01",7,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod18","GO:0006600","creatine metabolic process","4.31e-06","7.30e-02",10,"GO:0008152#GO:0009987","metabolic process#cellular process",4
"PPI-STRING_Consensus_mod18","GO:0005219","ryanodine-sensitive calcium-release channel activity","6.69e-05","1.58e-01",4,"GO:0005215","transporter activity",8
"PPI-STRING_Consensus_mod18","R-HSA-71288","Creatine metabolism","4.31e-06","7.28e-02",10,"R-HSA-1430728","Metabolism",3
